x y z Tx Ty Tz 
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 1.60361 0 0 0
0 0 2.54143 -0.0611245 0 0
0 0 3.90128 -0.0933211 -0.0594256 0
0 0 5.60192 -0.133363 -0.0826457 0
0 0 7.5158 -0.177437 -0.11204 0
0 0 9.60457 -0.223154 -0.146919 0
0 0 11.6602 -0.26498 -0.183177 0
0 1.51794 13.5233 -0.300169 -0.217883 0.052412
0 1.79568 15.1552 -0.328644 -0.249366 0.0567103
0 1.96552 16.4987 -0.350922 -0.273976 0.0570456
0 2.01677 17.4295 -0.366769 -0.286967 0.0528741
0 1.93406 18.0517 -0.381586 -0.287989 0
0 1.67536 18.3845 -0.396113 -0.277397 0
0 0 18.2632 -0.407758 -0.252196 0
0 0 17.9074 -0.41807 -0.218299 0
-1.63598 0 17.3505 -0.424125 -0.181228 0
-2.02861 0 16.6432 -0.424288 -0.145468 -0.0514983
-2.19902 0 15.7206 -0.416985 -0.110448 -0.0605732
-2.16662 0 14.723 -0.402438 -0.080403 -0.0621712
-1.98427 0 13.6927 -0.381332 -0.056672 -0.058016
-1.71824 0 12.5394 -0.353082 0 -0.0505659
-1.58121 0 11.9736 -0.338349 0 0
0 0 11.4174 -0.32307 0 0
0 0 10.22 -0.287753 0 0
0 0 9.04484 -0.252207 0 0
0 0 8.01281 -0.219896 0 0
0 0 7.05995 -0.189844 0 0
0 0 6.19127 -0.162155 0 0
0 0 5.42139 -0.138816 0 0
0 0 4.83941 -0.122505 0 0
0 0 4.30459 -0.107294 0 0
0 0 3.83968 -0.0940906 0 0
0 0 3.51239 -0.0863543 0 0
0 0 3.41351 -0.0848589 0 0
0 0 3.44862 -0.0860544 0 0
0 0 3.6757 -0.0922586 0 0
0 0 4.1841 -0.106508 0 0
0 0 4.942 -0.125356 -0.0504248 0
0 0 5.84431 -0.146277 -0.0641368 0
0 0 6.96044 -0.171508 -0.0802119 0
0 0 8.25342 -0.198678 -0.10085 0
0 0 9.58822 -0.226189 -0.122473 0
0 0 10.8996 -0.252808 -0.144478 0
0 0 12.1171 -0.278037 -0.16433 0
0 0 13.2681 -0.301353 -0.182329 0
0 0 14.1255 -0.319457 -0.193989 0
0 0 14.7999 -0.335751 -0.199306 0
0 0 15.2715 -0.349474 -0.198906 0
0 0 15.5006 -0.359794 -0.190215 0
0 0 15.5208 -0.367615 -0.174971 0
0 0 15.3861 -0.373835 -0.155051 0
0 0 15.0959 -0.377111 -0.132999 0
-1.81984 0 14.7224 -0.377398 -0.111316 0
-2.05714 0 14.292 -0.374738 -0.0919137 -0.0545543
-2.14577 0 13.8329 -0.369728 -0.0751567 -0.0590178
-2.08445 0 13.3115 -0.361353 -0.0609309 -0.0586753
-1.95057 0 12.7507 -0.34974 0 -0.0555433
-1.80568 0 12.1562 -0.335736 0 -0.051651
-1.64027 0 11.4907 -0.319512 0 0
-1.51535 0 10.8198 -0.302147 0 0
0 0 10.0971 -0.282215 0 0
0 0 9.42934 -0.263086 0 0
0 0 8.82323 -0.243897 0 0
0 0 8.20992 -0.224428 0 0
0 0 7.67767 -0.207319 0 0
0 0 7.26739 -0.193374 0 0
0 0 6.84408 -0.179189 0 0
0 0 6.48041 -0.168491 0 0
0 0 6.28314 -0.163091 0 0
0 0 6.09415 -0.157149 0 0
0 0 5.93586 -0.15191 0 0
0 0 5.9024 -0.15068 0 0
0 0 6.03943 -0.154074 0 0
0 0 6.17623 -0.15691 0 0
0 0 6.48021 -0.164259 -0.0545061 0
0 0 6.98567 -0.176586 -0.0636058 0
0 0 7.57752 -0.190184 -0.0743357 0
0 0 8.231 -0.205186 -0.085439 0
0 0 8.95907 -0.221656 -0.0971451 0
0 0 9.67475 -0.236918 -0.109402 0
0 0 10.3614 -0.250912 -0.121139 0
0 0 11.0245 -0.264627 -0.130606 0
0 0 11.5444 -0.276339 -0.136817 0
0 0 11.9989 -0.287054 -0.140828 0
0 0 12.4398 -0.29861 -0.143058 0
0 0 12.7454 -0.307913 -0.142118 0
0 0 12.8409 -0.311909 -0.14015 0
0 0 12.9311 -0.316093 -0.137991 0
0 0 13.0851 -0.323537 -0.133242 0
0 0 13.124 -0.326182 -0.130279 0
0 0 13.1268 -0.328302 -0.126553 0
0 0 13.0788 -0.332101 -0.117642 0
0 0 12.9784 -0.334398 -0.107097 0
0 0 12.8911 -0.334191 -0.101288 0
0 0 12.778 -0.333365 -0.094999 0
0 0 12.5162 -0.331154 -0.0823274 0
-1.53355 0 12.2435 -0.328001 -0.0716499 0
-1.63219 0 11.8822 -0.320982 -0.0617207 0
-1.64204 0 11.5263 -0.313889 -0.0536151 0
-1.59535 0 11.1995 -0.307214 0 0
-1.50936 0 10.7848 -0.297966 0 0
0 0 10.3757 -0.288778 0 0
0 0 10.0423 -0.280784 0 0
0 0 9.68828 -0.27064 0 0
0 0 9.30454 -0.259939 0 0
0 0 9.05886 -0.252712 0 0
0 0 8.86454 -0.245485 0 0
0 0 8.6693 -0.238146 0 0
0 0 8.50593 -0.232688 0 0
0 0 8.38986 -0.228706 0 0
0 0 8.27318 -0.224475 0 0
0 0 8.18725 -0.221183 0 0
0 0 8.14159 -0.218272 0 0
0 0 8.11612 -0.215465 -0.0520771 0
0 0 8.09691 -0.213385 -0.0567734 0
0 0 8.1262 -0.212187 -0.0614336 0
0 0 8.21138 -0.212559 -0.0668447 0
0 0 8.34892 -0.214677 -0.0725084 0
0 0 8.52304 -0.218723 -0.0789197 0
0 0 8.78095 -0.224673 -0.0859917 0
0 0 9.07368 -0.231511 -0.0930297 0
0 0 9.40322 -0.238873 -0.100319 0
0 0 9.73358 -0.245789 -0.10701 0
0 0 10.0536 -0.252648 -0.112814 0
0 0 10.3505 -0.258991 -0.117114 0
0 0 10.6212 -0.264523 -0.120748 0
0 0 10.8573 -0.269796 -0.123837 0
0 0 11.0391 -0.274947 -0.12559 0
0 0 11.1888 -0.279353 -0.126758 0
0 0 11.3268 -0.28341 -0.127924 0
0 0 11.376 -0.285242 -0.128192 0
0 0 11.4175 -0.287035 -0.128181 0
0 0 11.4751 -0.290134 -0.127155 0
0 0 11.4997 -0.292027 -0.124621 0
0 0 11.505 -0.293445 -0.121112 0
0 0 11.4685 -0.295021 -0.11598 0
0 0 11.3922 -0.296074 -0.109722 0
0 0 11.3097 -0.296156 -0.103682 0
0 0 11.1899 -0.295778 -0.0971568 0
