x y z Tx Ty Tz 
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 1.58988 0 0 0
0 0 1.85044 0 0 0
0 0 2.26246 0 0 0
0 0 2.7911 0 0 0
0 0 3.41326 0 -0.0553158 0
0 0 4.1256 0 -0.0638623 0
0 0 4.8682 0 -0.071263 0
0 0 5.4749 0.0511502 -0.0748456 0
0 0 5.89467 0.0550918 -0.0744728 0
0 0 6.10228 0.0567946 -0.0733706 0
0 0 6.32221 0.0589453 -0.0718003 0
0 0 6.75294 0.0629595 -0.0687966 0
0 0 7.05691 0.0646988 -0.0643391 0
0 0 7.24909 0.0652336 -0.0590882 0
0 0 7.50943 0.0668506 -0.0542134 0
0 0 7.81668 0.0687666 0 0
0 0 8.03711 0.0688052 0 0
0 0 8.12513 0.0682579 0 0
0 0 8.2106 0.067829 0 0
0 0 8.42614 0.0674093 0 0
0 0 8.62764 0.0669125 0 0
0 0 8.75913 0.0656225 0 0
0 0 8.8702 0.0632395 0 0
0 0 8.92481 0.0617498 0 0
0 0 8.96409 0.0602884 0 0
0 0 9.02198 0.0577329 0 0
0 0 9.14704 0.0561114 0 0
0 0 9.34951 0.0549401 0 0
0 0 9.47372 0.0536085 0 0
0 0 9.52702 0.0523842 0 0
0 0 9.60319 0.0518177 0 0
0 0 9.68352 0.0508608 0 0
0 0 9.73177 0 0 0
0 0 9.79755 0 0 0
0 0 9.84279 0 0 0
0 0 9.88352 0 0 0
0 0 9.93077 0 0 0
0 0 9.95208 0 0 0
0 0 9.96378 0 0 0
0 0 9.93794 0 0 0
0 0 9.91934 0 0 0
0 0 9.90885 0 0 0
0 0 9.89974 0 0 0
0 0 9.92216 0 0 0
0 0 9.93558 0 0 0
0 0 9.93341 0 0 0
0 0 9.93197 0 0 0
0 0 9.91514 0 0 0
0 0 9.89692 0 0 0
0 0 9.8816 0 0 0
0 0 9.87476 0 0 0
0 0 9.86881 0 0 0
0 0 9.85146 0 0 0
0 0 9.83236 0 0 0
0 0 9.80485 0 0 0
0 0 9.7559 0 0 0
0 0 9.69413 0 0 0
0 0 9.67687 0 0 0
0 0 9.68369 0 0 0
0 0 9.69616 0 0 0
0 0 9.72851 0 0 0
0 0 9.78644 0 0 0
0 0 9.85446 0 0 0
0 0 9.8973 0 0 0
0 0 9.92763 0 0 0
0 0 9.95047 0 0 0
0 0 9.96759 0 0 0
0 0 9.95754 0 0 0
-1.50396 0 9.95443 0 0 0
-1.51865 0 9.95209 0 0 0
-1.53535 0 9.93907 0 0 0
-1.53973 0 9.92114 0 0 0
-1.532 0 9.90175 0 0 0
-1.52329 0 9.89436 0 0 0
-1.5114 0 9.88622 0 0 0
-1.50584 0 9.88479 0 0 0
-1.50466 0 9.91088 0 0 0
-1.5243 0 9.95445 0 0 0
-1.55883 0 10.0132 0 0 0
-1.59252 0 10.0501 0 0 0
-1.60421 0 10.0853 0 0 0
-1.60674 0 10.0949 0 0 0
-1.60602 0 10.071 0 0 0
-1.60064 0 10.0435 0 0 0
-1.59105 0 10.0275 0 0 0
-1.59833 0 10.0271 0 0 0
-1.61435 0 10.0367 0 0 0
-1.62349 0 10.0556 0 0 0
-1.61635 0 10.071 0 0 0
-1.5917 0 10.0549 0 0 0
-1.56214 0 10.0207 0 0 0
-1.56176 0 10.0162 0 0 0
-1.57195 0 10.0095 0 0 0
-1.58298 0 10 0 0 0
-1.60001 0 9.99252 0 0 0
-1.61969 0 10.0032 0 0 0
-1.62093 0 9.99333 0 0 0
-1.60563 0 9.94338 0 0 0
-1.60392 0 9.93063 0 0 0
-1.60553 0 9.92281 0 0 0
-1.61303 0 9.91866 0 0 0
-1.62952 0 9.93873 0 0 0
-1.64138 0 9.94712 0 0 0
-1.64711 0 9.96591 0 0 0
-1.6561 0 9.99305 0 0 0
-1.6523 0 9.98779 0 0 0
-1.64402 0 9.96093 0 0 0
-1.63214 0 9.95597 0 0 0
-1.63027 0 9.95942 0 0 0
-1.62367 0 9.95514 0 0 0
-1.61934 0 9.95488 0 0 0
-1.61625 0 9.95319 0 0 0
-1.61199 0 9.95129 0 0 0
-1.60188 0 9.93276 0 0 0
-1.60419 0 9.9275 0 0 0
-1.60805 0 9.93208 0 0 0
-1.60296 0 9.90808 0 0 0
-1.59314 0 9.89525 0 0 0
-1.58826 0 9.91082 0 0 0
-1.58494 0 9.9167 0 0 0
-1.56864 0 9.90464 0 0 0
-1.56223 0 9.90898 0 0 0
-1.55922 0 9.92088 0 0 0
-1.55865 0 9.92313 0 0 0
-1.5572 0 9.92014 0 0 0
-1.55128 0 9.8989 0 0 0
-1.55125 0 9.89556 0 0 0
-1.54992 0 9.8848 0 0 0
-1.54564 0 9.86583 0 0 0
-1.5315 0 9.8252 0 0 0
-1.52521 0 9.79225 0 0 0
-1.52402 0 9.78258 0 0 0
-1.50793 0 9.7917 0 0 0
0 0 9.82176 0 0 0
0 0 9.88766 0 0 0
0 0 9.94458 0 0 0
0 0 9.98527 0 0 0
0 0 10.0097 0 0 0
