x y z Tx Ty Tz 
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 1.56714 0 0 0
0 0 1.99941 0 0 0
0 0 2.52592 0 0 0
0 0 3.12352 0 -0.0566622 0
0 0 3.67421 0 -0.0644657 0
0 0 4.15449 0.0533087 -0.0720592 0
0 0 4.70212 0.0640456 -0.0801222 0
0 0 5.32965 0.0753444 -0.0886643 0
0 0 5.84631 0.0852693 -0.0950816 0
0 0 6.28862 0.0941686 -0.100181 0
0 0 6.77615 0.102922 -0.106201 0
0 0 7.23125 0.11079 -0.111714 0
0 0 7.56202 0.116637 -0.115003 0
0 0 7.88874 0.122912 -0.118046 0
0 0 8.29261 0.1302 -0.122063 0
0 0 8.64978 0.136713 -0.12645 0
0 0 8.91255 0.141317 -0.128405 0
0 0 9.14171 0.145322 -0.128697 0
0 0 9.33788 0.148798 -0.127928 0
0 0 9.51969 0.151646 -0.127036 0
0 0 9.76103 0.154855 -0.126266 0
0 0 9.98067 0.158342 -0.124558 0
0 0 10.0589 0.159859 -0.121296 0
0 0 10.0881 0.1607 -0.117901 0
0 0 10.1153 0.161261 -0.115536 0
0 0 10.0888 0.160934 -0.112655 0
0 0 10.0585 0.159519 -0.110495 0
0 0 10.0962 0.158291 -0.110273 0
0 0 10.1361 0.157975 -0.110707 0
0 0 10.1276 0.156948 -0.110033 0
0 0 10.1108 0.155634 -0.109218 0
0 0 10.1148 0.154533 -0.109849 0
0 0 10.0802 0.154421 -0.109039 0
0 0 10.0287 0.15456 -0.108112 0
0 0 9.99605 0.154271 -0.107593 0
0 0 9.99383 0.154407 -0.108479 0
0 0 9.96652 0.155039 -0.108331 0
0 0 9.9371 0.155491 -0.108172 0
0 0 9.92953 0.155669 -0.108113 0
0 0 9.9257 0.155785 -0.107813 0
0 0 9.91818 0.155365 -0.10711 0
0 0 9.89656 0.155027 -0.106095 0
0 0 9.89686 0.154783 -0.105191 0
0 0 9.89523 0.154133 -0.103846 0
0 0 9.90582 0.153198 -0.103072 0
0 0 9.91171 0.152733 -0.102772 0
0 0 9.90482 0.152769 -0.101916 0
0 0 9.89545 0.152706 -0.101393 0
0 0 9.90177 0.152867 -0.102239 0
0 0 9.91264 0.152662 -0.103326 0
0 0 9.89994 0.152165 -0.102958 0
0 0 9.87141 0.152013 -0.102024 0
0 0 9.87311 0.15181 -0.101717 0
0 0 9.85927 0.151413 -0.100466 0
0 0 9.83032 0.151123 -0.0991541 0
0 0 9.82464 0.151275 -0.0989152 0
0 0 9.84752 0.151736 -0.0996945 0
0 0 9.85936 0.151696 -0.100365 0
0 0 9.86287 0.151641 -0.101348 0
0 0 9.89378 0.151669 -0.102834 0
0 0 9.90559 0.151816 -0.103734 0
0 0 9.91577 0.152174 -0.104852 0
0 0 9.95816 0.152653 -0.105841 0
0 0 10.0053 0.153128 -0.106425 0
0 0 10.0272 0.153778 -0.10698 0
0 0 10.0455 0.154606 -0.107337 0
0 0 10.0654 0.155106 -0.106845 0
0 0 10.0566 0.155348 -0.105044 0
0 0 10.0512 0.156156 -0.103919 0
0 0 10.0584 0.156799 -0.103172 0
0 0 10.0677 0.156876 -0.101809 0
0 0 10.0756 0.157269 -0.101132 0
0 0 10.0767 0.15769 -0.101256 0
0 0 10.0599 0.157393 -0.101447 0
0 0 10.0603 0.156801 -0.101744 0
0 0 10.0587 0.156313 -0.101229 0
0 0 10.0394 0.15604 -0.100491 0
0 0 10.037 0.155552 -0.100089 0
0 0 10.0768 0.155042 -0.101069 0
0 0 10.0787 0.154564 -0.100861 0
0 0 10.0566 0.154394 -0.100349 0
0 0 10.0571 0.154531 -0.10102 0
0 0 10.0828 0.154469 -0.102014 0
0 0 10.0619 0.154508 -0.101146 0
0 0 10.0467 0.154507 -0.10066 0
0 0 10.0275 0.154377 -0.100452 0
0 0 10.0349 0.154203 -0.101456 0
0 0 10.0533 0.154104 -0.102717 0
0 0 10.0583 0.153486 -0.10399 0
0 0 10.0798 0.152577 -0.105837 0
0 0 10.1193 0.151679 -0.107793 0
0 0 10.1591 0.151468 -0.108456 0
0 0 10.1401 0.15145 -0.107424 0
0 0 10.0992 0.152061 -0.106522 0
0 0 10.0565 0.152896 -0.105825 0
0 0 10.0175 0.153733 -0.105141 0
0 0 9.96418 0.154291 -0.104964 0
0 0 9.92516 0.154637 -0.10542 0
0 0 9.90076 0.154343 -0.105586 0
0 0 9.91629 0.153653 -0.106271 0
0 0 9.94317 0.152905 -0.106487 0
0 0 9.96244 0.152615 -0.106525 0
0 0 9.97019 0.152044 -0.106392 0
0 0 9.96319 0.15143 -0.105937 0
0 0 9.95515 0.151295 -0.105313 0
0 0 9.9419 0.151387 -0.104937 0
0 0 9.90042 0.151428 -0.104391 0
0 0 9.87611 0.151457 -0.104086 0
0 0 9.85154 0.151831 -0.103875 0
0 0 9.84227 0.151706 -0.104196 0
0 0 9.82734 0.151373 -0.103657 0
0 0 9.81424 0.151418 -0.102799 0
0 0 9.79931 0.151438 -0.101758 0
0 0 9.79084 0.151197 -0.101168 0
0 0 9.80082 0.150698 -0.101014 0
0 0 9.7881 0.150635 -0.100599 0
0 0 9.77099 0.150745 -0.100356 0
0 0 9.76541 0.15031 -0.101376 0
0 0 9.76581 0.150213 -0.102253 0
0 0 9.75479 0.150566 -0.102568 0
0 0 9.72879 0.151058 -0.1022 0
0 0 9.74243 0.151007 -0.102107 0
0 0 9.75539 0.151399 -0.102271 0
0 0 9.75338 0.151806 -0.102315 0
0 0 9.76113 0.151291 -0.102419 0
0 0 9.78843 0.150709 -0.103149 0
0 0 9.82867 0.150679 -0.10456 0
0 0 9.83672 0.151497 -0.104693 0
0 0 9.84573 0.151713 -0.104248 0
0 0 9.8593 0.15178 -0.103865 0
0 0 9.86507 0.152116 -0.103387 0
0 0 9.868 0.152437 -0.102873 0
0 0 9.84581 0.15275 -0.102629 0
0 0 9.84109 0.152412 -0.103211 0
0 0 9.84557 0.152459 -0.103683 0
0 0 9.86295 0.152818 -0.104245 0
0 0 9.88034 0.153403 -0.104733 0
0 0 9.90262 0.153832 -0.104849 0
0 0 9.95402 0.153742 -0.105342 0
0 0 10.0125 0.154327 -0.106711 0
0 0 10.0735 0.155451 -0.108589 0
0 0 10.1282 0.155708 -0.110619 0
0 0 10.1723 0.15564 -0.112569 0
0 0 10.212 0.15534 -0.11459 0
0 0 10.2168 0.155824 -0.115412 0
0 0 10.19 0.156009 -0.114673 0
0 0 10.1393 0.156548 -0.113058 0
0 0 10.1008 0.156828 -0.111534 0
